,movie,release_date,release_month,release_day,release_year
1380,Lovers Courageous,1932-01-23,January,Saturday,1932
1381,The Sport Parade,1932-11-11,November,Friday,1932
1382,Two Against The World,1932-09-03,September,Saturday,1932
1383,Slightly Married,1932-10-15,October,Saturday,1932
1384,The Night Club Lady,1932-08-27,August,Saturday,1932
1385,I'll Be Glad When You're Dead You Rascal You,1932-11-25,November,Friday,1932
1386,Sinners in the Sun,1932-05-13,May,Friday,1932
1387,The Crash,1932-10-09,October,Sunday,1932
1388,Girl Grief,1932-10-08,October,Saturday,1932
1389,Arsene Lupin,1932-03-05,March,Saturday,1932
1390,She Wanted a Millionaire,1932-02-21,February,Sunday,1932
1391,No One Man,1932-01-22,January,Friday,1932
1392,The Cohens and Kellys in Hollywood,1932-03-27,March,Sunday,1932
1393,Destry Rides Again,1932-04-17,April,Sunday,1932
1394,Wild Horse Mesa,1932-11-25,November,Friday,1932
1395,"Ride Him, Bosko",1932-09-17,September,Saturday,1932
1396,They Never Come Back,1932-05-10,May,Tuesday,1932
1397,In the Dough,1932-11-15,November,Tuesday,1932
1398,War Babies,1932-09-11,September,Sunday,1932
1399,Betty Boop's Bamboo Isle,1932-09-22,September,Thursday,1932
1400,Service for Ladies,1932-06-20,June,Monday,1932
1401,Tom Brown of Culver,1932-06-30,June,Thursday,1932
1402,The Famous Ferguson Case,1932-05-14,May,Saturday,1932
1403,Flaming Gold,1932-09-28,September,Wednesday,1932
1404,Is My Face Red?,1932-06-17,June,Friday,1932
1405,Tess of the Storm Country,1932-11-20,November,Sunday,1932
1406,The Crooked Circle,1932-09-25,September,Sunday,1932
1407,Strange Justice,1932-10-07,October,Friday,1932
1408,The Half Naked Truth,1932-12-16,December,Friday,1932
1409,Ladies of the Jury,1932-02-05,February,Friday,1932
1410,Are You Listening?,1932-03-21,March,Monday,1932
1411,Any Rags,1932-01-01,January,Friday,1932
1412,The Loud Mouth,1932-06-16,June,Thursday,1932
1413,Probation,1932-04-01,April,Friday,1932
1414,Discarded Lovers,1932-01-02,January,Saturday,1932
1415,Devil and the Deep,1932-08-12,August,Friday,1932
1416,Vanity Fair,1932-03-15,March,Tuesday,1932
1417,Spanky,1932-03-25,March,Friday,1932
1418,Hook and Ladder,1932-01-01,January,Friday,1932
1419,The Misleading Lady,1932-04-15,April,Friday,1932
1420,Hold 'Em Jail,1932-09-16,September,Friday,1932
1421,Boop-Oop-A-Doop,1932-01-16,January,Saturday,1932
1422,Scandal for Sale,1932-04-01,April,Friday,1932
1423,The Drifter,1932-01-10,January,Sunday,1932
1424,6 Hours to Live,1932-10-15,October,Saturday,1932
1425,Men Of America,1932-11-25,November,Friday,1932
1426,Windy Ledge Farm,1932-04-17,April,Sunday,1932
1427,Lena Rivers,1932-03-27,March,Sunday,1932
1428,A Woman Commands,1932-02-12,February,Friday,1932
1429,Careless Lady,1932-04-02,April,Saturday,1932
1430,The Tenderfoot,1932-05-23,May,Monday,1932
1431,Fast Companions,1932-06-22,June,Wednesday,1932
1432,The Age of Consent,1932-08-19,August,Friday,1932
1433,Between Fighting Men,1932-10-15,October,Saturday,1932
1434,Free Wheeling,1932-09-30,September,Friday,1932
1435,An Innocent Man,1932-01-01,January,Friday,1932
1436,Ridin' for Justice,1932-01-04,January,Monday,1932
1437,The Broken Wing,1932-03-25,March,Friday,1932
1438,He Is Charming,1932-04-07,April,Thursday,1932
1439,Week-End Marriage,1932-06-18,June,Saturday,1932
1440,King Kong,1933-03-02,March,Thursday,1933
1441,M,1933-05-14,May,Sunday,1933
1442,Duck Soup,1933-11-12,November,Sunday,1933
1443,Design for Living,1933-11-22,November,Wednesday,1933
1444,Three Little Pigs,1933-05-27,May,Saturday,1933
1445,Sons of the Desert,1933-12-29,December,Friday,1933
1446,The Invisible Man,1933-11-03,November,Friday,1933
1447,Son of Kong,1933-12-22,December,Friday,1933
1448,Gold Diggers of 1933,1933-05-27,May,Saturday,1933
1449,The Ghoul,1933-08-01,August,Tuesday,1933
1450,She Done Him Wrong,1933-02-09,February,Thursday,1933
1451,Flying Down to Rio,1933-12-22,December,Friday,1933
1452,The Private Life of Henry VIII,1933-09-21,September,Thursday,1933
1453,Cavalcade,1933-04-14,April,Friday,1933
1454,The Blood of a Poet,1933-11-03,November,Friday,1933
1455,Busy Bodies,1933-10-07,October,Saturday,1933
1456,Berkeley Square,1933-09-15,September,Friday,1933
1457,Night Flight,1933-10-06,October,Friday,1933
1458,The Telegraph Trail,1933-03-18,March,Saturday,1933
1459,Dinner at Eight,1933-08-29,August,Tuesday,1933
1460,Roman Scandals,1933-01-01,January,Sunday,1933
1461,Riders of Destiny,1933-10-10,October,Tuesday,1933
1462,Baby Face,1933-07-13,July,Thursday,1933
1463,The Devil's Brother,1933-05-05,May,Friday,1933
1464,The Kennel Murder Case,1933-10-28,October,Saturday,1933
1465,Ann Vickers,1933-09-26,September,Tuesday,1933
1466,Midnight Mary,1933-06-30,June,Friday,1933
1467,Hard to Handle,1933-01-28,January,Saturday,1933
1468,Ladies They Talk About,1933-02-04,February,Saturday,1933
1469,Secret of the Blue Room,1933-07-20,July,Thursday,1933
1470,Today We Live,1933-03-03,March,Friday,1933
1471,State Fair,1933-02-10,February,Friday,1933
1472,Parole Girl,1933-03-04,March,Saturday,1933
1473,The Fatal Glass of Beer,1933-03-03,March,Friday,1933
1474,Hallelujah I'm a Bum,1933-02-03,February,Friday,1933
1475,Mickey's Mellerdrammer,1933-03-17,March,Friday,1933
1476,The Pet Store,1933-10-27,October,Friday,1933
1477,The Mad Doctor,1933-01-21,January,Saturday,1933
1478,I Was A Spy,1933-12-15,December,Friday,1933
1479,Sagebrush Trail,1933-12-15,December,Friday,1933
1480,Picture Snatcher,1933-05-06,May,Saturday,1933
1481,Father Noah's Ark,1933-04-08,April,Saturday,1933
1482,Snow-White,1933-08-01,August,Tuesday,1933
1483,Giantland,1933-11-25,November,Saturday,1933
1484,Female,1933-11-11,November,Saturday,1933
1485,Me and My Pal,1933-04-22,April,Saturday,1933
1486,Don Quixote,1933-01-01,January,Sunday,1933
1487,Captured!,1933-08-19,August,Saturday,1933
1488,She Had to Say Yes,1933-07-15,July,Saturday,1933
1489,"Mary Stevens, M.D.",1933-07-22,July,Saturday,1933
1490,Men Must Fight,1933-02-17,February,Friday,1933
1491,Dirty Work,1933-11-25,November,Saturday,1933
1492,Parachute Jumper,1933-01-28,January,Saturday,1933
1493,Storm at Daybreak,1933-06-14,June,Wednesday,1933
1494,Ever in My Heart,1933-10-28,October,Saturday,1933
1495,Heroes for Sale,1933-06-17,June,Saturday,1933
1496,Murders in the Zoo,1933-03-31,March,Friday,1933
1497,The Story of Temple Drake,1933-05-06,May,Saturday,1933
1498,The Bowery,1933-10-07,October,Saturday,1933
1499,Twice Two,1933-02-25,February,Saturday,1933
1500,Only Yesterday,1933-11-01,November,Wednesday,1933
1501,I Loved a Woman,1933-09-23,September,Saturday,1933
1502,The Mail Pilot,1933-05-12,May,Friday,1933
1503,Alice in Wonderland,1933-12-22,December,Friday,1933
1504,The Sphinx,1933-06-01,June,Thursday,1933
1505,Dancing Lady,1933-11-24,November,Friday,1933
1506,Christopher Strong,1933-03-09,March,Thursday,1933
1507,The Sin of Nora Moran,1933-12-13,December,Wednesday,1933
1508,To Whom Does the World Belong?,1933-04-23,April,Sunday,1933
1509,Oliver Twist,1933-02-28,February,Tuesday,1933
1510,Bombshell,1933-10-13,October,Friday,1933
1511,The Shanty Where Santy Claus Lives,1933-01-07,January,Saturday,1933
1512,Mickey's Pal Pluto,1933-02-18,February,Saturday,1933
1513,Mickey's Mechanical Man,1933-06-16,June,Friday,1933
1514,The Pied Piper,1933-09-16,September,Saturday,1933
1515,The Kiss Before the Mirror,1933-05-04,May,Thursday,1933
1516,The Mayor of Hell,1933-06-24,June,Saturday,1933
1517,Outskirts,1933-09-24,September,Sunday,1933
1518,I'm No Angel,1933-10-06,October,Friday,1933
1519,Lullaby Land,1933-08-19,August,Saturday,1933
1520,The Song of Songs,1933-07-19,July,Wednesday,1933
1521,Hell Below,1933-06-08,June,Thursday,1933
1522,Private Detective 62,1933-06-10,June,Saturday,1933
1523,Going Hollywood,1933-12-22,December,Friday,1933
1524,His Double Life,1933-12-14,December,Thursday,1933
1525,I Cover the Waterfront,1933-05-19,May,Friday,1933
1526,The Silk Express,1933-06-01,June,Thursday,1933
1527,Lady Killer,1933-12-09,December,Saturday,1933
1528,Blondie Johnson,1933-02-25,February,Saturday,1933
1529,Old King Cole,1933-07-29,July,Saturday,1933
1530,Building a Building,1933-01-07,January,Saturday,1933
1531,The Eagle and the Hawk,1933-05-06,May,Saturday,1933
1532,The Steeple Chase,1933-09-29,September,Friday,1933
1533,The Crime of the Century,1933-02-18,February,Saturday,1933
1534,The Life of Jimmy Dolan,1933-06-03,June,Saturday,1933
1535,Penthouse,1933-09-08,September,Friday,1933
1536,The Midnight Patrol,1933-08-03,August,Thursday,1933
1537,Popeye the Sailor,1933-07-14,July,Friday,1933
1538,His Private Secretary,1933-06-10,June,Saturday,1933
1539,The Prizefighter and the Lady,1933-11-10,November,Friday,1933
1540,Ye Olden Days,1933-04-08,April,Saturday,1933
1541,The Barber Shop,1933-07-28,July,Friday,1933
1542,Somewhere in Sonora,1933-05-27,May,Saturday,1933
1543,The Little Giant,1933-05-20,May,Saturday,1933
1544,Three-Cornered Moon,1933-08-08,August,Tuesday,1933
1545,The Barbarian,1933-05-12,May,Friday,1933
1546,Gabriel Over the White House,1933-03-31,March,Friday,1933
1547,Counsellor at Law,1933-12-25,December,Monday,1933
1548,Havana Widows,1933-11-18,November,Saturday,1933
1549,When Ladies Meet,1933-06-23,June,Friday,1933
1550,Pilgrimage,1933-07-12,July,Wednesday,1933
1551,Lilly Turner,1933-05-13,May,Saturday,1933
1552,"Hyppolit, the Butler",1933-01-03,January,Tuesday,1933
1553,Bed of Roses,1933-06-29,June,Thursday,1933
1554,Ace of Aces,1933-10-20,October,Friday,1933
1555,Secrets,1933-03-16,March,Thursday,1933
1556,By Candlelight,1933-12-18,December,Monday,1933
1557,One Sunday Afternoon,1933-09-01,September,Friday,1933
1558,The Keyhole,1933-03-25,March,Saturday,1933
1559,Doctor Bull,1933-09-22,September,Friday,1933
1560,The Power and the Glory,1933-10-06,October,Friday,1933
1561,Air Hostess,1933-01-15,January,Sunday,1933
1562,The Secret of Madame Blanche,1933-02-03,February,Friday,1933
1563,The Stranger's Return,1933-07-28,July,Friday,1933
1564,No Other Woman,1933-01-06,January,Friday,1933
1565,The Old Man of the Mountain,1933-08-04,August,Friday,1933
1566,The World Changes,1933-11-25,November,Saturday,1933
1567,A Study in Scarlet,1933-05-14,May,Sunday,1933
1568,Torch Singer,1933-09-08,September,Friday,1933
1569,Double Harness,1933-07-21,July,Friday,1933
1570,College Coach,1933-11-13,November,Monday,1933
1571,Central Airport,1933-04-15,April,Saturday,1933
1572,Day of Reckoning,1933-10-26,October,Thursday,1933
1573,Cheating Blondes,1933-05-01,May,Monday,1933
1574,Betty Boop's Penthouse,1933-03-10,March,Friday,1933
1575,Oil: A Symphony in Motion,1933-05-01,May,Monday,1933
1576,Whistling in the Dark,1933-01-21,January,Saturday,1933
1577,Supernatural,1933-04-21,April,Friday,1933
1578,Lot in Sodom,1933-12-25,December,Monday,1933
1579,International House,1933-05-27,May,Saturday,1933
1580,The Night Before Christmas,1933-12-09,December,Saturday,1933
1581,Hold Your Man,1933-06-30,June,Friday,1933
1582,The Man from Monterey,1933-07-15,July,Saturday,1933
1583,College Humor,1933-07-05,July,Wednesday,1933
1584,Man's Castle,1933-11-20,November,Monday,1933
1585,We're in the Money,1933-08-26,August,Saturday,1933
1586,The Kid from Borneo,1933-04-14,April,Friday,1933
1587,To the Last Man,1933-09-15,September,Friday,1933
1588,Under the Tonto Rim,1933-04-07,April,Friday,1933
1589,Bosko's Picture Show,1933-08-26,August,Saturday,1933
1590,Sweepings,1933-04-14,April,Friday,1933
1591,The Devil's in Love,1933-07-21,July,Friday,1933
1592,Night of Terror,1933-04-23,April,Sunday,1933
1593,My Woman,1933-10-04,October,Wednesday,1933
1594,The Three Musketeers,1933-04-07,April,Friday,1933
1595,Gambling Ship,1933-06-23,June,Friday,1933
1596,Bedtime Worries,1933-09-08,September,Friday,1933
1597,Charlie Chan's Greatest Case,1933-09-14,September,Thursday,1933
1598,The Girl in 419,1933-05-26,May,Friday,1933
1599,From Hell to Heaven,1933-02-24,February,Friday,1933
1600,Rafter Romance,1933-09-01,September,Friday,1933
1601,The World Gone Mad,1933-04-15,April,Saturday,1933
1602,The Pharmacist,1933-04-21,April,Friday,1933
1603,The Woman Accused,1933-02-17,February,Friday,1933
1604,Before Morning,1933-10-18,October,Wednesday,1933
1605,Looking Forward,1933-04-28,April,Friday,1933
1606,A Shriek in the Night,1933-07-22,July,Saturday,1933
1607,Made on Broadway,1933-05-19,May,Friday,1933
1608,Perfect Understanding,1933-02-24,February,Friday,1933
1609,Forgotten,1933-02-14,February,Tuesday,1933
1610,Chance at Heaven,1933-10-27,October,Friday,1933
1611,Melody Cruise,1933-06-22,June,Thursday,1933
1612,Betty Boop's Hallowe'en Party,1933-11-03,November,Friday,1933
1613,File 113,1933-01-05,January,Thursday,1933
1614,The Working Man,1933-04-20,April,Thursday,1933
1615,If I Were Free,1933-12-01,December,Friday,1933
1616,Nertsery Rhymes,1933-07-05,July,Wednesday,1933
1617,Son of a Sailor,1933-11-29,November,Wednesday,1933
1618,Tarzan the Fearless,1933-08-11,August,Friday,1933
1619,Ann Carver's Profession,1933-06-09,June,Friday,1933
1620,The Masquerader,1933-09-03,September,Sunday,1933
1621,Ladies Must Love,1933-09-25,September,Monday,1933
1622,The Wolf Dog,1933-09-29,September,Friday,1933
1623,Broken Dreams,1933-10-19,October,Thursday,1933
1624,The Thundering Herd,1933-03-01,March,Wednesday,1933
1625,Moon over Morocco,1933-01-20,January,Friday,1933
1626,I Like Mountain Music,1933-06-10,June,Saturday,1933
1627,Nothing Ever Happens,1933-03-25,March,Saturday,1933
1628,Christmas Night,1933-12-22,December,Friday,1933
1629,Jaws of Justice,1933-12-04,December,Monday,1933
1630,No Marriage Ties,1933-08-11,August,Friday,1933
1631,Turn Back the Clock,1933-08-25,August,Friday,1933
1632,Dora's Dunking Doughnuts,1933-09-01,September,Friday,1933
1633,Girl Without a Room,1933-12-08,December,Friday,1933
1634,Professional Sweetheart,1933-06-09,June,Friday,1933
1635,Mickey's Gala Premier,1933-07-01,July,Saturday,1933
1636,Hoopla,1933-11-30,November,Thursday,1933
1637,Cradle Song,1933-11-19,November,Sunday,1933
1638,Menu,1933-09-23,September,Saturday,1933
1639,Broadway to Hollywood,1933-09-15,September,Friday,1933
1640,The Silver Cord,1933-05-05,May,Friday,1933
1641,Meet the Baron,1933-10-20,October,Friday,1933
1642,Cocktail Hour,1933-06-05,June,Monday,1933
1643,King for a Night,1933-12-09,December,Saturday,1933
1644,The White Sister,1933-03-17,March,Friday,1933
1645,Pick Up,1933-03-24,March,Friday,1933
1646,"Dance, Girl, Dance",1933-09-01,September,Friday,1933
1647,"Aggie Appleby, Maker of Men",1933-10-18,October,Wednesday,1933
1648,Mr. Skitch,1933-12-22,December,Friday,1933
1649,Narcotic,1933-08-01,August,Tuesday,1933
1650,Goldie Gets Along,1933-01-27,January,Friday,1933
1651,The Phantom of the Air,1933-05-21,May,Sunday,1933
1652,Private Jones,1933-03-25,March,Saturday,1933
1653,A Man of Sentiment,1933-09-15,September,Friday,1933
1654,Peg o' My Heart,1933-05-26,May,Friday,1933
1655,Our Betters,1933-03-17,March,Friday,1933
1656,L'opéra de quat'sous,1933-12-08,December,Friday,1933
1657,Betty Boop's May Party,1933-05-11,May,Thursday,1933
1658,Before Dawn,1933-08-04,August,Friday,1933
1659,Wild Poses,1933-10-28,October,Saturday,1933
1660,Child of Manhattan,1933-02-11,February,Saturday,1933
1661,The Mind Reader,1933-04-01,April,Saturday,1933
1662,Fast Workers,1933-03-10,March,Friday,1933
1663,Pleasure Cruise,1933-04-01,April,Saturday,1933
1664,Footnote to Fact,1933-05-01,May,Monday,1933
1665,Man of the Forest,1933-08-24,August,Thursday,1933
1666,Sunset Pass,1933-05-26,May,Friday,1933
1667,From Headquarters,1933-11-06,November,Monday,1933
1668,White Woman,1933-11-10,November,Friday,1933
1669,"Hello, Sister!",1933-04-14,April,Friday,1933
1670,Unknown Valley,1933-05-05,May,Friday,1933
1671,The Man Who Dared,1933-06-30,June,Friday,1933
1672,Tugboat Annie,1933-08-04,August,Friday,1933
1673,One Man's Journey,1933-08-31,August,Thursday,1933
1674,Too Many Highballs,1933-02-10,February,Friday,1933
1675,Stage Mother,1933-09-29,September,Friday,1933
1676,Voltaire,1933-08-05,August,Saturday,1933
1677,Big Time Or Bust,1933-11-10,November,Friday,1933
1678,How've You Bean?,1933-06-24,June,Saturday,1933
1679,Golden Harvest,1933-09-21,September,Thursday,1933
1680,It Happened One Night,1934-02-22,February,Thursday,1934
1681,Vampyr,1934-08-14,August,Tuesday,1934
1682,The Thin Man,1934-05-25,May,Friday,1934
1683,The Gay Divorcee,1934-10-12,October,Friday,1934
1684,The Wise Little Hen,1934-06-08,June,Friday,1934
1685,The Scarlet Empress,1934-09-15,September,Saturday,1934
1686,The Man From Utah,1934-05-15,May,Tuesday,1934
1687,Imitation of Life,1934-11-23,November,Friday,1934
1688,It's a Gift,1934-11-30,November,Friday,1934
1689,The Merry Widow,1934-11-02,November,Friday,1934
1690,Flirtation Walk,1934-12-01,December,Saturday,1934
1691,Treasure Island,1934-08-17,August,Friday,1934
1692,West of the Divide,1934-02-15,February,Thursday,1934
1693,One Night of Love,1934-09-15,September,Saturday,1934
1694,The Big Bad Wolf,1934-04-14,April,Saturday,1934
1695,Midnight,1934-03-07,March,Wednesday,1934
1696,Dames,1934-09-01,September,Saturday,1934
1697,Cleopatra,1934-10-05,October,Friday,1934
1698,Randy Rides Alone,1934-06-05,June,Tuesday,1934
1699,Dark Hazard,1934-02-03,February,Saturday,1934
1700,Two-Gun Mickey,1934-12-15,December,Saturday,1934
1701,Mickey Plays Papa,1934-09-28,September,Friday,1934
1702,The Trail Beyond,1934-10-22,October,Monday,1934
1703,Thirty Day Princess,1934-05-18,May,Friday,1934
1704,Blue Steel,1934-05-10,May,Thursday,1934
1705,Wonder Bar,1934-03-31,March,Saturday,1934
1706,Viva Villa!,1934-04-27,April,Friday,1934
1707,The Count of Monte Cristo,1934-09-06,September,Thursday,1934
1708,The House of Rothschild,1934-04-07,April,Saturday,1934
1709,Bright Eyes,1934-12-28,December,Friday,1934
1710,Anne of Green Gables,1934-11-23,November,Friday,1934
1711,Operator 13,1934-06-08,June,Friday,1934
1712,Funny Little Bunnies,1934-03-24,March,Saturday,1934
1713,Charlie Chan in London,1934-09-12,September,Wednesday,1934
1714,Little Miss Marker,1934-06-01,June,Friday,1934
1715,Massacre,1934-01-20,January,Saturday,1934
1716,Heat Lightning,1934-03-03,March,Saturday,1934
1717,Going Bye-Bye!,1934-06-23,June,Saturday,1934
1718,Judge Priest,1934-09-15,September,Saturday,1934
1719,Sadie McKee,1934-05-09,May,Wednesday,1934
1720,'Neath the Arizona Skies,1934-12-05,December,Wednesday,1934
1721,Evelyn Prentice,1934-11-09,November,Friday,1934
1722,Forsaking All Others,1934-12-23,December,Sunday,1934
1723,Jane Eyre,1934-08-15,August,Wednesday,1934
1724,The Lawless Frontier,1934-11-22,November,Thursday,1934
1725,Manhattan Melodrama,1934-05-04,May,Friday,1934
1726,Them Thar Hills,1934-07-21,July,Saturday,1934
1727,The Lost Patrol,1934-02-16,February,Friday,1934
1728,Mickey's Steam Roller,1934-06-16,June,Saturday,1934
1729,House of Mystery,1934-03-30,March,Friday,1934
1730,The Dragon Murder Case,1934-08-25,August,Saturday,1934
1731,Palooka,1934-01-26,January,Friday,1934
1732,Broadway Bill,1934-11-30,November,Friday,1934
